surface	corpus	raw_rank	raw_pct	raw_function	raw_file_line	primitive_boundary	attribution_status	s_p2_antecedent_status	redress_routing
p1c_json_probes	apache_builds	1	9.44	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	apache_builds	1	42.70	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	github_events	1	99.43	profile_direct::parse_only_checksum	skinny/crates/bbnf-bench/src/bin/profile_direct.rs:213	harness/checksum-loop	unknown/harness/sidecar-symbolization	blocked:do-not-use-as-parser-primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	github_events	1	37.94	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	github_events	1	17.38	<serde_json::read::SliceRead>::skip_to_escape	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:434	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	github_events	1	42.13	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	github_events	1	19.62	<serde_json::read::SliceRead>::skip_to_escape	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:434	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	github_events	1	9.23	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	github_events	1	39.87	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	update_center	1	99.82	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	update_center	1	33.01	bbnf_bench::generated_real_typed::parse_type_plugin_ordered	skinny/crates/bbnf-bench/src/generated_real_typed.rs:837	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	update_center	1	24.04	<serde_json::read::SliceRead>::skip_to_escape	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:432	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	update_center	1	30.39	bbnf_bench::generated_real_typed::parse_type_plugin_ordered	skinny/crates/bbnf-bench/src/generated_real_typed.rs:837	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	update_center	1	24.97	<serde_json::read::SliceRead>::skip_to_escape	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:432	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	update_center	1	9.21	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	update_center	1	37.58	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	mesh	1	99.84	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	mesh	1	42.79	bbnf_bench::generated_real_typed::parse_type_mesh	skinny/crates/bbnf-bench/src/generated_real_typed.rs:1886	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	mesh	1	28.03	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::parse_decimal	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:530	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	mesh	1	43.39	bbnf_bench::generated_real_typed::parse_type_mesh	skinny/crates/bbnf-bench/src/generated_real_typed.rs:1886	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	mesh	1	28.18	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::parse_decimal	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:530	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	mesh	1	8.29	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	mesh	4	7.44	rot16_128	index.crates.io-1949cf8c6b5b557f/blake3-1.8.5/c/blake3_neon.c:41	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	random	1	99.85	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	random	1	37.09	<bbnf_bench::generated_real_typed::DirectParser>::ws	skinny/crates/bbnf-bench/src/generated_real_typed.rs:3763	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	random	1	21.10	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	random	1	30.39	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	random	1	21.85	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	random	1	9.49	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	random	5	5.41	core::core_arch::arm_shared::neon::generated::vceqq_u8	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/../../stdarch/crates/core_arch/src/arm_shared/neon/generated.rs:5180	NEON byte-compare scanner primitive	grammar-neutral SIMD scanner	allowed:simd structural scan	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	gsoc-2018	1	99.81	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	gsoc-2018	1	99.03	<bbnf_bench::generated_real_typed::DirectParser>::ws	skinny/crates/bbnf-bench/src/generated_real_typed.rs:3763	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	gsoc-2018	1	71.32	<bbnf_bench::real_typed_struct::DecodedJsonString as serde_core::de::Deserialize>::deserialize::<&mut serde_json::de::Deserializer<serde_json::read::SliceRead>>	skinny/crates/bbnf-bench/src/real_typed_struct.rs:812	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	gsoc-2018	1	98.72	<bbnf_bench::generated_real_typed::DirectParser>::ws	skinny/crates/bbnf-bench/src/generated_real_typed.rs:3763	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	gsoc-2018	1	70.79	<bbnf_bench::real_typed_struct::DecodedJsonString as serde_core::de::Deserialize>::deserialize::<&mut serde_json::de::Deserializer<serde_json::read::SliceRead>>	skinny/crates/bbnf-bench/src/real_typed_struct.rs:812	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	gsoc-2018	1	9.98	<alloc::vec::Vec<u32>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	gsoc-2018	1	37.54	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	marine_ik	1	99.83	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	marine_ik	1	41.55	bbnf_bench::generated_real_typed::parse_type_marine_geometry_data	skinny/crates/bbnf-bench/src/generated_real_typed.rs:2078	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	marine_ik	2	13.80	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_integer	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1217	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	marine_ik	1	40.83	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	marine_ik	2	14.61	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_integer	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1217	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	marine_ik	1	7.36	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	marine_ik	1	34.85	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	instruments	1	99.92	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	instruments	1	31.24	bbnf_bench::generated_real_typed::parse_type_instrument	skinny/crates/bbnf-bench/src/generated_real_typed.rs:2154	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	instruments	1	28.69	<serde_json::de::MapAccess<_> as serde_core::de::MapAccess>::next_key_seed::has_next_key::<serde_json::read::SliceRead>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1990	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	instruments	1	30.28	bbnf_bench::generated_real_typed::parse_type_instrument	skinny/crates/bbnf-bench/src/generated_real_typed.rs:2154	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	instruments	1	30.49	<serde_json::de::MapAccess<_> as serde_core::de::MapAccess>::next_key_seed::has_next_key::<serde_json::read::SliceRead>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1990	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	instruments	1	8.71	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	instruments	1	39.18	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	numbers	1	99.66	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	numbers	1	73.56	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	numbers	1	58.20	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::parse_decimal	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:530	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	numbers	1	72.89	<core::option::Option<&u8>>::copied	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/option.rs:2141	typed-product option materialization	harness/product-materialization	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	numbers	1	55.61	<serde_json::read::SliceRead as serde_json::read::Read>::discard	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:570	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	numbers	1	8.32	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	numbers	1	39.15	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	unicode_mixed	2	0.03	<usize>::wrapping_sub	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/num/uint_macros.rs:2548	harness/checksum-loop	unknown/harness/sidecar-symbolization	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	unicode_mixed	1	95.24	bbnf_bench::generated_real_typed::parse_type_unicode_mixed_document	skinny/crates/bbnf-bench/src/generated_real_typed.rs:1362	schema-shaped generated product builder	schema-wrapper	blocked as primitive; use builder pattern only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
